Affirmative,O_Common,ObjSuffwVerb,O_Person1,O_Plural:hiy
Affirmative,O_Common,ObjSuffwVerb,O_Person1,O_Singular:hiy
Affirmative,O_Common,ObjSuffwVerb,O_Person2,O_Plural:hiy
Affirmative,O_Common,ObjSuffwVerb,O_Person3,O_Plural:hiy
Affirmative,O_Fem,ObjSuffwVerb,O_Person1,O_Plural:hiy
Affirmative,O_Fem,ObjSuffwVerb,O_Person3,O_Singular:hiy
Affirmative,O_Masc,ObjSuffwVerb,O_Person2,O_Singular:hiy
Affirmative,O_Masc,ObjSuffwVerb,O_Person3,O_Singular:hiy
Negative,O_Common,ObjSuffwVerb,O_Person1,O_Plural:rih
Negative,O_Common,ObjSuffwVerb,O_Person1,O_Singular:rih
Negative,O_Common,ObjSuffwVerb,O_Person1,Plural:rih
Negative,O_Common,ObjSuffwVerb,O_Person2,O_Plural:kan
Negative,O_Common,ObjSuffwVerb,O_Person2,O_Singular:rih
Negative,O_Common,ObjSuffwVerb,O_Person2,Plural:rih
Negative,O_Common,ObjSuffwVerb,O_Person3,O_Plural:rih
Negative,O_Common,ObjSuffwVerb,O_Person3,Plural:rih
Negative,O_Masc,ObjSuffwVerb,O_Person2,O_Singular:kan
Negative,O_Masc,ObjSuffwVerb,O_Person3,O_Singular:kan,rih
Irregular,Aorist,Affirmative:bariy,fay,hiy
Irregular,Past,Affirmative:bariy,fay,hiy,kay
Irregular,Present,Negative:kay
Prefix,Aorist,Affirmative,CHiy:dHiy
Prefix,Aorist,Affirmative,CaC:naw
Prefix,Aorist,Affirmative,Cay:bay
Prefix,Aorist,Affirmative,CiC:rib
Prefix,Aorist,Affirmative,CiCH:fir
Prefix,Aorist,Affirmative,CiCaC:fiyak
Prefix,Aorist,Affirmative,CiCiC:sibib
Prefix,Aorist,Affirmative,CiCiy:miriy
Prefix,Aorist,Affirmative,Ciy:diy
Prefix,Aorist,Affirmative,HaCiC:hariw
Prefix,Aorist,Negative,CHiy:dHiy
Prefix,Aorist,Negative,CaC:naw
Prefix,Aorist,Negative,Cay:bay
Prefix,Aorist,Negative,CiC:rib
Prefix,Aorist,Negative,CiCH:fir
Prefix,Aorist,Negative,CiCaC:fiyak
Prefix,Aorist,Negative,CiCiC:sibib
Prefix,Aorist,Negative,CiCiy:miriy
Prefix,Aorist,Negative,Ciy:diy
Prefix,Aorist,Negative,HaCiC:hariw
Prefix,Future,Affirmative:dam,kay
Prefix,Future,Affirmative,CHiy:dHiy
Prefix,Future,Affirmative,CaC:naw
Prefix,Future,Affirmative,Cay:bay
Prefix,Future,Affirmative,CiC:rib
Prefix,Future,Affirmative,CiCH:fir
Prefix,Future,Affirmative,CiCaC:fiyak
Prefix,Future,Affirmative,CiCiC:sibib
Prefix,Future,Affirmative,CiCiy:miriy
Prefix,Future,Affirmative,Ciy:diy
Prefix,Future,Affirmative,HaCiC:hariw
Prefix,Future,Negative:kay
Prefix,Future,Negative,CHiy:dHiy
Prefix,Future,Negative,CaC:naw
Prefix,Future,Negative,Cay:bay
Prefix,Future,Negative,CiC:rib
Prefix,Future,Negative,CiCH:fir
Prefix,Future,Negative,CiCaC:fiyak
Prefix,Future,Negative,CiCiC:sibib
Prefix,Future,Negative,CiCiy:miriy
Prefix,Future,Negative,Ciy:diy
Prefix,Future,Negative,HaCiC:hariw
Prefix,Imperative,Affirmative,CHiy:dHiy
Prefix,Imperative,Affirmative,CaC:naw
Prefix,Imperative,Affirmative,Cay:bay
Prefix,Imperative,Affirmative,CiC:rib
Prefix,Imperative,Affirmative,CiCH:fir
Prefix,Imperative,Affirmative,CiCaC:fiyak
Prefix,Imperative,Affirmative,CiCiC:sibib
Prefix,Imperative,Affirmative,CiCiy:miriy
Prefix,Imperative,Affirmative,Ciy:diy
Prefix,Imperative,Affirmative,HaCiC:hariw
Prefix,Imperative,Negative,CHiy:dHiy
Prefix,Imperative,Negative,CaC:naw
Prefix,Imperative,Negative,Cay:bay
Prefix,Imperative,Negative,CiC:rib
Prefix,Imperative,Negative,CiCH:fir
Prefix,Imperative,Negative,CiCaC:fiyak
Prefix,Imperative,Negative,CiCiC:sibib
Prefix,Imperative,Negative,CiCiy:miriy
Prefix,Imperative,Negative,Ciy:diy
Prefix,Imperative,Negative,HaCiC:hariw
Prefix,Past,Affirmative,CHiy:dHiy
Prefix,Past,Affirmative,CaC:naw
Prefix,Past,Affirmative,Cay:bay
Prefix,Past,Affirmative,CiC:rib
Prefix,Past,Affirmative,CiCH:fir
Prefix,Past,Affirmative,CiCaC:fiyak
Prefix,Past,Affirmative,CiCiC:diy,sibib
Prefix,Past,Affirmative,CiCiy:miriy
Prefix,Past,Affirmative,Ciy:diy
Prefix,Past,Affirmative,HaCiC:hariw
Prefix,Past,Negative,CHiy:dHiy
Prefix,Past,Negative,CaC:naw
Prefix,Past,Negative,Cay:bay
Prefix,Past,Negative,CiC:rib
Prefix,Past,Negative,CiCH:fir
Prefix,Past,Negative,CiCaC:fiyak
Prefix,Past,Negative,CiCiC:sibib
Prefix,Past,Negative,CiCiy:miriy
Prefix,Past,Negative,Ciy:diy
Prefix,Past,Negative,HaCiC:hariw
Prefix,Present,Affirmative,CHiy:dHiy
Prefix,Present,Affirmative,CaC:naw
Prefix,Present,Affirmative,Cay:bay
Prefix,Present,Affirmative,CiC:rib
Prefix,Present,Affirmative,CiCH:fir
Prefix,Present,Affirmative,CiCaC:fiyak
Prefix,Present,Affirmative,CiCiC:sibib
Prefix,Present,Affirmative,CiCiy:miriy
Prefix,Present,Affirmative,Ciy:diy
Prefix,Present,Affirmative,HaCiC:hariw
Prefix,Present,Negative,CHiy:dHiy
Prefix,Present,Negative,CaC:naw
Prefix,Present,Negative,Cay:bay
Prefix,Present,Negative,CiC:rib
Prefix,Present,Negative,CiCH:fir
Prefix,Present,Negative,CiCaC:fiyak
Prefix,Present,Negative,CiCiC:sibib
Prefix,Present,Negative,CiCiy:miriy
Prefix,Present,Negative,Ciy:diy
Prefix,Present,Negative,HaCiC:hariw
Suffix,Imperative:gwa,raat
Suffix,Jussive:gwa,raat
Suffix,Past,Affirmative:tam
Suffix,Past,Affirmative,HFin:rih
Suffix,Past,Affirmative,HamzFin:gwa
Suffix,Past,Affirmative,HamzInitVFin:ee
Suffix,Present,Affirmative:tam,yak
Suffix,Present,Affirmative,HFin:rih
Suffix,Present,Affirmative,HamzFin:gwa
Suffix,Present,Affirmative,HamzInitVFin:ee
Suffix,Present,Affirmative,VFin1:agrii
Suffix,Present,Affirmative,VFin2:aree
Suffix,Present,Negative:tam
Suffix,Present,Negative,HamzInitVFin:ee
Suffix,Present,Negative,VFin1:agrii
Suffix,Present,Negative,VFin2:are
Suffix,PresentShort,Negative,VFin2:are
AuxPut,Future,Affirmative,CiCiC:dilib
AuxPut,Past,Affirmative,CiCiC:dilib
AuxPut,Present,Affirmative,CiCiC:dilib
AuxTake,Future,Affirmative,CiCiC:dilib
AuxTake,Future,Negative,CiCiC:dilib
AuxTake,Past,Affirmative,CiCiC:dilib
AuxTake,Past,Negative,CiCiC:dilib
AuxTake,PastPerfect,Affirmative,CiCiC:dilib
AuxTake,Present,Affirmative,CiCiC:dilib
AuxTake,Present,Negative,CiCiC:dilib
Become,Suffix,Future,Affirmative,weak:gwa
Mood,Imperative,Affirmative:diy
Mood,Imperative,Negative:diy
Mood,Jussive:dHiy,diy,rib,sibib
NegCop,Negative:kay
Overview,Prefix,Future:diy
Overview,Prefix,Past:diy
Overview,Prefix,Present:diy
Overview,Suffix,Future:yak
Overview,Suffix,Imperative:adgir,aree,giig,ha,ma,raat,raataa,sak,soo,waaw
Overview,Suffix,Past:afirh,afreey,anfiy,assi,bireet,daas,yak
Overview,Suffix,Present:afirh,afrey,anf,assi,bireet,daas,yak
Q,Suffix,Aorist:gwa
FUTURE_INTENTION,Intention,Suffix,Future:diy,gwa,tam
INTENSIVEACTION,Repetitive,Repetitive,Aorist:dir,gid,sdd
INTENSIVEACTION,Repetitive,Simple,Aorist:dir,gad,gid,sdd
PREFVERB_PATTERNS,TransVerbPatterns,Prefix,CiC:dif,ish,mir,rib,sim
PREFVERB_PATTERNS,TransVerbPatterns,Prefix,CiCiC:bidil,dilib,fidig,kitib,kitim,mikir,sibib,tikwikw
PREFVERB_PATTERNS,TransVerbPatterns,Prefix,CiCiy:dhigwiy,miriy,siniy
PREFVERB_PATTERNS,TransVerbPatterns,Prefix,HaCiC:abik,agir,hagit,hariw,hasib,hayis
