CCy,Imperative:bny
CCy,Imperfect:bny
CCy,Jussive:bny
CCy,Perfect:bny
D,CCC,Imperative:gdl
D,CCC,Imperfect:gdl
D,CCC,Jussive:gdl
D,CCC,Perfect:gdl
Du,CCC,Imperative:gdl
Du,CCC,Imperfect:gdl
Du,CCC,Jussive:gdl
Du,CCC,Perfect:gdl
N,CCC,Imperative:ktb
N,CCC,Imperfect:ktb
N,CCC,Jussive:ktb
N,CCC,Perfect:ktb
S,CCC,Imperative:smd
S,CCC,Imperfect:smd
S,CCC,Jussive:smd
S,CCC,Perfect:smd
St,CCC,Imperative:gdl
St,CCC,Imperfect:gdl
St,CCC,Jussive:gdl
St,CCC,Perfect:gdl
Su,CCC,Imperative:smd
Su,CCC,Imperfect:smd
Su,CCC,Jussive:smd
Su,CCC,Perfect:smd
MidWeak,B,CwC,Imperative:qwm
MidWeak,B,CwC,Imperfect:qwm
MidWeak,B,CwC,Jussive:qwm
MidWeak,B,CwC,Perfect:qwm
MidWeak,B,CyC,Imperative:sym
MidWeak,B,CyC,Imperfect:sym
MidWeak,B,CyC,Jussive:sym
MidWeak,B,CyC,Perfect:sym
a,B,NCC,Imperative:ng_
a,B,NCC,Imperfect:ng_
a,B,NCC,Jussive:ng_
a,B,NCC,Perfect:ng_
a-a,B,ACC,Imperative:akl
a-a,B,ACC,Imperfect:akl
a-a,B,ACC,Jussive:akl
a-a,B,ACC,Perfect:akl
a-a,B,CCA,Imperative:msa
a-a,B,CCA,Imperfect:msa
a-a,B,CCA,Jussive:msa
a-a,B,CCA,Perfect:msa
a-a,B,CCC,Imperative:bhr
a-a,B,CCC,Imperfect:bhr
a-a,B,CCC,Jussive:bhr
a-a,B,CCC,Perfect:bhr
a-a,B,CCh,Imperative:slh
a-a,B,CCh,Imperfect:slh
a-a,B,CCh,Jussive:slh
a-a,B,CCh,Perfect:slh
a-a,B,HCC,Imperative:hzq
a-a,B,HCC,Imperfect:hzq
a-a,B,HCC,Jussive:hzq
a-a,B,HCC,Perfect:hzq
a-a,B,YCC,Imperative:ytb
a-a,B,YCC,Imperfect:ytb
a-a,B,YCC,Jussive:ytb
a-a,B,YCC,Perfect:ytb
a-e,B,NCC,Imperative:ntn
a-e,B,NCC,Imperfect:ntn
a-e,B,NCC,Jussive:ntn
a-e,B,NCC,Perfect:ntn
a-e,B,WCC,Imperative:ysb
a-e,B,WCC,Imperfect:ysb
a-e,B,WCC,Jussive:ysb
a-e,B,WCC,Perfect:ysb
a-o,B,C1C2C2,Imperative:qll,sbb
a-o,B,C1C2C2,Imperfect:qll,sbb
a-o,B,C1C2C2,Jussive:qll,sbb
a-o,B,C1C2C2,Perfect:qll,sbb
a-o,B,CCC,Imperative:ktb
a-o,B,CCC,Imperfect:ktb
a-o,B,CCC,Jussive:ktb
a-o,B,CCC,Perfect:ktb
a-o,B,HCC,Imperative:_md
a-o,B,HCC,Imperfect:_md
a-o,B,HCC,Jussive:_md
a-o,B,HCC,Perfect:_md
a-o,B,NCC,Imperative:npl
a-o,B,NCC,Imperfect:npl
a-o,B,NCC,Jussive:npl
a-o,B,NCC,Perfect:npl
e-a,B,CCC,Imperative:kbd
e-a,B,CCC,Imperfect:kbd
e-a,B,CCC,Jussive:kbd
e-a,B,CCC,Perfect:kbd
