ImprtvOpt,Aff,PersonClass1:woon
ImprtvOpt,Aff,PersonClass2:bee
ImprtvOpt,Neg,PersonClass1,Interrog:woon
ImprtvOpt,Neg,PersonClass2,Interrog:bee
PastHab,Aff,PersonClass1,Decl:woon
PastHab,Aff,PersonClass1,Interrog:woon
PastHab,Aff,PersonClass2,Decl:bee
PastHab,Aff,PersonClass2,Interrog:bee
PastHab,Neg,PersonClass1,Decl:woon
PastHab,Neg,PersonClass1,Interrog:woon
PastHab,Neg,PersonClass2,Decl:bee
PastHab,Neg,PersonClass2,Interrog:bee
PastPerf,Aff,PersonClass1,Decl:woon
PastPerf,Aff,PersonClass1,Interrog:woon
PastPerf,Aff,PersonClass2,Decl:bee
PastPerf,Aff,PersonClass2,Interrog:bee
PastPerf,Neg,PersonClass1,Decl:woon
PastPerf,Neg,PersonClass1,Interrog:woon
PastPerf,Neg,PersonClass2,Decl:bee
PastPerf,Neg,PersonClass2,Interrog:bee
PastPerfective,Aff,PersonClass1,Decl:woon
PastPerfective,Aff,PersonClass1,Interrog:woon
PastPerfective,Aff,PersonClass1,NoFoc:woon
PastPerfective,Aff,PersonClass2,Decl:bee
PastPerfective,Aff,PersonClass2,Interrog:bee
PastPerfective,Aff,PersonClass2,NoFoc:bee
PastPerfective,Neg,PersonClass1,Decl:woon
PastPerfective,Neg,PersonClass1,Interrog:woon
PastPerfective,Neg,PersonClass2,Decl:bee
PastPerfective,Neg,PersonClass2,Interrog:bee
PastProg,Aff,PersonClass1,Decl:woon
PastProg,Aff,PersonClass1,Interrog:woon
PastProg,Aff,PersonClass2,Decl:bee
PastProg,Aff,PersonClass2,Interrog:bee
PastProg,Neg,PersonClass1,Decl:woon
PastProg,Neg,PersonClass1,Interrog:woon
PastProg,Neg,PersonClass2,Decl:bee
PastProg,Neg,PersonClass2,Interrog:bee
PresHab,Aff,PersonClass1,Decl:woon
PresHab,Aff,PersonClass1,Interrog:woon
PresHab,Aff,PersonClass2,Decl:bee
PresHab,Aff,PersonClass2,Interrog:bee
PresHab,Neg,PersonClass1,Decl:woon
PresHab,Neg,PersonClass1,Interrog:woon
PresHab,Neg,PersonClass2,Decl:bee
PresHab,Neg,PersonClass2,Interrog:bee
PresPerf,Aff,PersonClass1,Decl:woon
PresPerf,Aff,PersonClass1,Interrog:woon
PresPerf,Aff,PersonClass2,Decl:bee
PresPerf,Aff,PersonClass2,Interrog:bee
PresPerf,Neg,PersonClass1,Decl:woon
PresPerf,Neg,PersonClass1,Interrog:woon
PresPerf,Neg,PersonClass2,Decl:bee
PresPerf,Neg,PersonClass2,Interrog:bee
PresProg,Aff,PersonClass1,Decl:woon
PresProg,Aff,PersonClass1,Interrog:woon
PresProg,Aff,PersonClass2,Decl:bee
PresProg,Aff,PersonClass2,Interrog:bee
PresProg,Neg,PersonClass1,Decl:woon
PresProg,Neg,PersonClass1,Interrog:woon
PresProg,Neg,PersonClass2,Decl:bee
PresProg,Neg,PersonClass2,Interrog:bee
Conj1,ImperativeOptative,Affirmative:woon
Conj1,ImperativeOptative,Negative,Interrogative:woon
Conj1,PastHabitual,Affirmative,Declarative:woon
Conj1,PastHabitual,Affirmative,Interrogative:woon
Conj1,PastHabitual,Negative,Declarative:woon
Conj1,PastHabitual,Negative,Interrogative:woon
Conj1,PastPerfective,Affirmative,Declarative:woon
Conj1,PastPerfective,Affirmative,Interrogative:woon
Conj1,PastPerfective,Affirmative,NoFocus:woon
Conj1,PastPerfective,Negative,Declarative:woon
Conj1,PastPerfective,Negative,Interrogative:woon
Conj1,PastProgressive,Affirmative,Declarative:woon
Conj1,PastProgressive,Affirmative,Interrogative:woon
Conj1,PastProgressive,Negative,Declarative:woon
Conj1,PastProgressive,Negative,Interrogative:woon
Conj1,PresentHabitual,Affirmative,Declarative:woon
Conj1,PresentHabitual,Affirmative,Interrogative:woon
Conj1,PresentHabitual,Negative,Declarative:woon
Conj1,PresentHabitual,Negative,Interrogative:woon
Conj1,PresentPerfective,Affirmative,Declarative:woon
Conj1,PresentPerfective,Affirmative,Interrogative:woon
Conj1,PresentPerfective,Negative,Declarative:woon
Conj1,PresentPerfective,Negative,Interrogative:woon
Conj1,PresentProgressive,Affirmative,Declarative:woon
Conj1,PresentProgressive,Affirmative,Interrogative:woon
Conj1,PresentProgressive,Negative,Declarative:woon
Conj1,PresentProgressive,Negative,Interrogative:woon
Conj2,ImperativeOptative,Affirmative:bee
Conj2,ImperativeOptative,Negative,Interrogative:bee
Conj2,PastHabitual,Affirmative,Declarative:bee
Conj2,PastHabitual,Affirmative,Interrogative:bee
Conj2,PastHabitual,Negative,Declarative:bee
Conj2,PastHabitual,Negative,Interrogative:bee
Conj2,PastPerfective,Affirmative,Declarative:bee
Conj2,PastPerfective,Affirmative,Interrogative:bee
Conj2,PastPerfective,Affirmative,NoFocus:bee
Conj2,PastPerfective,Negative,Declarative:bee
Conj2,PastPerfective,Negative,Interrogative:bee
Conj2,PastProgressive,Affirmative,Declarative:bee
Conj2,PastProgressive,Affirmative,Interrogative:bee
Conj2,PastProgressive,Negative,Declarative:bee
Conj2,PastProgressive,Negative,Interrogative:bee
Conj2,PresentHabitual,Affirmative,Declarative:bee
Conj2,PresentHabitual,Affirmative,Interrogative:bee
Conj2,PresentHabitual,Negative,Declarative:bee
Conj2,PresentHabitual,Negative,Interrogative:bee
Conj2,PresentPerfective,Affirmative,Declarative:bee
Conj2,PresentPerfective,Affirmative,Interrogative:bee
Conj2,PresentPerfective,Negative,Declarative:bee
Conj2,PresentPerfective,Negative,Interrogative:bee
Conj2,PresentProgressive,Affirmative,Declarative:bee
Conj2,PresentProgressive,Affirmative,Interrogative:bee
Conj2,PresentProgressive,Negative,Declarative:bee
Conj2,PresentProgressive,Negative,Interrogative:bee
