ConjA,Aorist,ConjA-ConjBComparison:ug
ConjA,Aorist,Affirmative,CVC:ug
ConjA,Aorist,Affirmative,CVC-VC:kais
ConjA,Aorist,Affirmative,CVCVC:qaba
ConjA,Aorist,Affirmative,CVVC:ooy
ConjA,Consecutive,ConjA-ConjBComparison:ug
ConjA,Consecutive,Affirmative,CVC:ug
ConjA,Consecutive,Affirmative,CVC-VC:kais
ConjA,Consecutive,Affirmative,CVCVC:qaba
ConjA,Consecutive,Affirmative,CVVC:ooy
ConjA,Future,Affirmative,CVC:ug
ConjA,Future,Affirmative,CVC-VC:kais
ConjA,Future,Affirmative,CVCVC:qaba
ConjA,Future,Affirmative,CVVC:ooy
ConjA,Future,Negative,CVC:ug
ConjA,Future,Negative,CVC-VC:kais
ConjA,Future,Negative,CVCVC:qaba
ConjA,Future,Negative,CVVC:ooy
ConjA,Future,Subordinate,CVC:ug
ConjA,Future,Subordinate,CVC-VC:kais
ConjA,Future,Subordinate,CVCVC:qaba
ConjA,Future,Subordinate,CVVC:ooy
ConjA,Imperative,ConjA-ConjBComparison:ug
ConjA,Imperative,Affirmative,CVC:ug
ConjA,Imperative,Affirmative,CVC-VC:kais
ConjA,Imperative,Affirmative,CVCVC:qaba
ConjA,Imperative,Affirmative,CVVC:ooy
ConjA,Imperfect,Affirmative,CVC:ug
ConjA,Imperfect,Affirmative,CVC-VC:kais
ConjA,Imperfect,Affirmative,CVCVC:qaba
ConjA,Imperfect,Affirmative,CVVC:ooy
ConjA,Jussive,Affirmative,CVC:ug
ConjA,Jussive,Affirmative,CVC-VC:kais
ConjA,Jussive,Affirmative,CVCVC:qaba
ConjA,Jussive,Affirmative,CVVC:ooy
ConjA,Jussive,Negative,CVC:ug
ConjA,Jussive,Negative,CVC-VC:kais
ConjA,Jussive,Negative,CVCVC:qaba
ConjA,Jussive,Negative,CVVC:ooy
ConjA,NonPast,Negative,CVC:ug
ConjA,NonPast,Negative,CVC-VC:kais
ConjA,NonPast,Negative,CVCVC:qaba
ConjA,NonPast,Negative,CVVC:ooy
ConjA,Past,Negative,CVC:ug
ConjA,Past,Negative,CVC-VC:kais
ConjA,Past,Negative,CVCVC:qaba
ConjA,Past,Negative,CVVC:ooy
ConjB,Aorist,ConjA-ConjBComparison:zi
ConjB,Aorist,Affirmative,CVC:zi
ConjB,Aorist,Affirmative,CVC-VC:zoq-am
ConjB,Aorist,Affirmative,CVCVC:abun
ConjB,Aorist,Affirmative,CVVC:bod
ConjB,Consecutive,ConjA-ConjBComparison:zi
ConjB,Consecutive,Affirmative,CVC:zi
ConjB,Consecutive,Affirmative,CVC-VC:zoq-am
ConjB,Consecutive,Affirmative,CVCVC:abun
ConjB,Consecutive,Affirmative,CVVC:bod
ConjB,Future,Affirmative,CVC:zi
ConjB,Future,Affirmative,CVC-VC:zoq-am
ConjB,Future,Affirmative,CVCVC:abun
ConjB,Future,Affirmative,CVVC:bod
ConjB,Future,Negative,CVC:zi
ConjB,Future,Negative,CVC-VC:zoq-am
ConjB,Future,Negative,CVCVC:abun
ConjB,Future,Negative,CVVC:bod
ConjB,Future,Subordinate,CVC:zi
ConjB,Future,Subordinate,CVC-VC:zoq-am
ConjB,Future,Subordinate,CVCVC:abun
ConjB,Future,Subordinate,CVVC:bod
ConjB,Imperative,ConjA-ConjBComparison:zi
ConjB,Imperative,Affirmative,CVC:zi
ConjB,Imperative,Affirmative,CVC-VC:zoq-am
ConjB,Imperative,Affirmative,CVCVC:abun
ConjB,Imperative,Affirmative,CVVC:bod
ConjB,Imperfect,Affirmative,CVC:zi
ConjB,Imperfect,Affirmative,CVC-VC:zoq-am
ConjB,Imperfect,Affirmative,CVCVC:abun
ConjB,Imperfect,Affirmative,CVVC:bod
ConjB,Jussive,Affirmative,CVC:zi
ConjB,Jussive,Affirmative,CVC-VC:zoq-am
ConjB,Jussive,Affirmative,CVCVC:abun
ConjB,Jussive,Affirmative,CVVC:bod
ConjB,Jussive,Negative,CVC:zi
ConjB,Jussive,Negative,CVC-VC:zoq-am
ConjB,Jussive,Negative,CVCVC:abun
ConjB,Jussive,Negative,CVVC:bod
ConjB,NonPast,Negative,CVC:zi
ConjB,NonPast,Negative,CVC-VC:zoq-am
ConjB,NonPast,Negative,CVCVC:abun
ConjB,NonPast,Negative,CVVC:bod
ConjB,Past,Negative,CVC:zi
ConjB,Past,Negative,CVC-VC:zoq-am
ConjB,Past,Negative,CVCVC:abun
ConjB,Past,Negative,CVVC:bod
