CompoundIntransitive,Affix,SubjMarker
CompoundIntransitive,Compound,Affirmative,Anticipatory
CompoundIntransitive,Compound,Affirmative,Conditional1
CompoundIntransitive,Compound,Affirmative,Conditional2
CompoundIntransitive,Compound,Affirmative,Contrafactual
CompoundIntransitive,Compound,Affirmative,Hypothetical
CompoundIntransitive,Compound,Affirmative,Imperative
CompoundIntransitive,Compound,Affirmative,Imperfect
CompoundIntransitive,Compound,Affirmative,ImperfectAnticipatory
CompoundIntransitive,Compound,Affirmative,ImperfectPast1
CompoundIntransitive,Compound,Affirmative,ImperfectPast2
CompoundIntransitive,Compound,Affirmative,ImperfectPresent
CompoundIntransitive,Compound,Affirmative,ImperfectProbable1
CompoundIntransitive,Compound,Affirmative,ImperfectProbable2
CompoundIntransitive,Compound,Affirmative,Intentive
CompoundIntransitive,Compound,Affirmative,Jussive
CompoundIntransitive,Compound,Affirmative,Perfect
CompoundIntransitive,Compound,Affirmative,PerfectAnticipatory
CompoundIntransitive,Compound,Affirmative,PerfectConditional
CompoundIntransitive,Compound,Affirmative,PerfectPast1
CompoundIntransitive,Compound,Affirmative,PerfectPast2
CompoundIntransitive,Compound,Affirmative,PerfectPresent
CompoundIntransitive,Compound,Affirmative,PerfectProbable
CompoundIntransitive,Compound,Affirmative,Purposive1
CompoundIntransitive,Compound,Affirmative,Purposive2
CompoundIntransitive,Compound,Affirmative,Requestive
CompoundIntransitive,Compound,Negative,Anticipatory
CompoundIntransitive,Compound,Negative,Conditional1
CompoundIntransitive,Compound,Negative,Conditional2
CompoundIntransitive,Compound,Negative,Contrafactual
CompoundIntransitive,Compound,Negative,Hypothetical
CompoundIntransitive,Compound,Negative,Imperative
CompoundIntransitive,Compound,Negative,Imperfect
CompoundIntransitive,Compound,Negative,ImperfectAnticipatory
CompoundIntransitive,Compound,Negative,ImperfectPast1
CompoundIntransitive,Compound,Negative,ImperfectPast2
CompoundIntransitive,Compound,Negative,ImperfectPresent
CompoundIntransitive,Compound,Negative,ImperfectProbable1
CompoundIntransitive,Compound,Negative,ImperfectProbable2
CompoundIntransitive,Compound,Negative,Intentive
CompoundIntransitive,Compound,Negative,Jussive
CompoundIntransitive,Compound,Negative,Perfect
CompoundIntransitive,Compound,Negative,PerfectAnticipatory
CompoundIntransitive,Compound,Negative,PerfectConditional
CompoundIntransitive,Compound,Negative,PerfectPast1
CompoundIntransitive,Compound,Negative,PerfectPast2
CompoundIntransitive,Compound,Negative,PerfectPresent
CompoundIntransitive,Compound,Negative,PerfectProbable
CompoundIntransitive,Compound,Negative,Purposive1
CompoundIntransitive,Compound,Negative,Purposive2
CompoundIntransitive,Compound,Negative,Requestive
CompoundStative,Affirmative,PresentState1
CompoundStative,Compound,Affirmative,ContrafactualStative
CompoundStative,Compound,Affirmative,ImperfectPast1
