clauseType,morphClass,polarity,tam,lex
Converb,ameet
Converb,gaf
Converb,ke
Converb,mar
PosteriorSub,orroo
Affirmative,AnteriorPerfect,korj
Affirmative,AnteriorPerfect,ub
Affirmative,AnteriorPerfect,y
Affirmative,FutureProximate,korj
Affirmative,Imperative,orroo
Affirmative,Imperfective,korj
Affirmative,Perfective,korj
Affirmative,Perfective,ub
Affirmative,Perfective,y
Affirmative,Progressive,korj
Affirmative,TensefutProx,korj
Negative,Imperative,orroo
Negative,Imperfective,korj
Negative,Perfective,korj
Negative,Perfective,ub
Negative,Perfective,y
Negative,Progressive,korj
DiffSubjSuff,Converb,hir
