Conj1,Affirmative,ImperativeOptative
Conj1,Declarative,Affirmative,PastHabitual
Conj1,Declarative,Affirmative,PastPerfective
Conj1,Declarative,Affirmative,PastProgressive
Conj1,Declarative,Affirmative,PresentHabitual
Conj1,Declarative,Affirmative,PresentPerfective
Conj1,Declarative,Affirmative,PresentProgressive
Conj1,Declarative,Negative,PastHabitual
Conj1,Declarative,Negative,PastPerfective
Conj1,Declarative,Negative,PastProgressive
Conj1,Declarative,Negative,PresentHabitual
Conj1,Declarative,Negative,PresentPerfective
Conj1,Declarative,Negative,PresentProgressive
Conj1,Interrogative,Affirmative,PastHabitual
Conj1,Interrogative,Affirmative,PastPerfective
Conj1,Interrogative,Affirmative,PastProgressive
Conj1,Interrogative,Affirmative,PresentHabitual
Conj1,Interrogative,Affirmative,PresentPerfective
Conj1,Interrogative,Affirmative,PresentProgressive
Conj1,Interrogative,Negative,ImperativeOptative
Conj1,Interrogative,Negative,PastHabitual
Conj1,Interrogative,Negative,PastPerfective
Conj1,Interrogative,Negative,PastProgressive
Conj1,Interrogative,Negative,PresentHabitual
Conj1,Interrogative,Negative,PresentPerfective
Conj1,Interrogative,Negative,PresentProgressive
Conj1,NoFocus,Affirmative,PastPerfective
Conj2,Affirmative,ImperativeOptative
Conj2,Declarative,Affirmative,PastHabitual
Conj2,Declarative,Affirmative,PastPerfective
Conj2,Declarative,Affirmative,PastProgressive
Conj2,Declarative,Affirmative,PresentHabitual
Conj2,Declarative,Affirmative,PresentPerfective
Conj2,Declarative,Affirmative,PresentProgressive
Conj2,Declarative,Negative,PastHabitual
Conj2,Declarative,Negative,PastPerfective
Conj2,Declarative,Negative,PastProgressive
Conj2,Declarative,Negative,PresentHabitual
Conj2,Declarative,Negative,PresentPerfective
Conj2,Declarative,Negative,PresentProgressive
Conj2,Interrogative,Affirmative,PastHabitual
Conj2,Interrogative,Affirmative,PastPerfective
Conj2,Interrogative,Affirmative,PastProgressive
Conj2,Interrogative,Affirmative,PresentHabitual
Conj2,Interrogative,Affirmative,PresentPerfective
Conj2,Interrogative,Affirmative,PresentProgressive
Conj2,Interrogative,Negative,ImperativeOptative
Conj2,Interrogative,Negative,PastHabitual
Conj2,Interrogative,Negative,PastPerfective
Conj2,Interrogative,Negative,PastProgressive
Conj2,Interrogative,Negative,PresentHabitual
Conj2,Interrogative,Negative,PresentPerfective
Conj2,Interrogative,Negative,PresentProgressive
Conj2,NoFocus,Affirmative,PastPerfective
Decl,PersonClass1,Aff,PastHab
Decl,PersonClass1,Aff,PastPerf
Decl,PersonClass1,Aff,PastPerfective
Decl,PersonClass1,Aff,PastProg
Decl,PersonClass1,Aff,PresHab
Decl,PersonClass1,Aff,PresPerf
Decl,PersonClass1,Aff,PresProg
Decl,PersonClass1,Neg,PastHab
Decl,PersonClass1,Neg,PastPerf
Decl,PersonClass1,Neg,PastPerfective
Decl,PersonClass1,Neg,PastProg
Decl,PersonClass1,Neg,PresHab
Decl,PersonClass1,Neg,PresPerf
Decl,PersonClass1,Neg,PresProg
Decl,PersonClass2,Aff,PastHab
Decl,PersonClass2,Aff,PastPerf
Decl,PersonClass2,Aff,PastPerfective
Decl,PersonClass2,Aff,PastProg
Decl,PersonClass2,Aff,PresHab
Decl,PersonClass2,Aff,PresPerf
Decl,PersonClass2,Aff,PresProg
Decl,PersonClass2,Neg,PastHab
Decl,PersonClass2,Neg,PastPerf
Decl,PersonClass2,Neg,PastPerfective
Decl,PersonClass2,Neg,PastProg
Decl,PersonClass2,Neg,PresHab
Decl,PersonClass2,Neg,PresPerf
Decl,PersonClass2,Neg,PresProg
Interrog,PersonClass1,Aff,PastHab
Interrog,PersonClass1,Aff,PastPerf
Interrog,PersonClass1,Aff,PastPerfective
Interrog,PersonClass1,Aff,PastProg
Interrog,PersonClass1,Aff,PresHab
Interrog,PersonClass1,Aff,PresPerf
Interrog,PersonClass1,Aff,PresProg
Interrog,PersonClass1,Neg,ImprtvOpt
Interrog,PersonClass1,Neg,PastHab
Interrog,PersonClass1,Neg,PastPerf
Interrog,PersonClass1,Neg,PastPerfective
Interrog,PersonClass1,Neg,PastProg
Interrog,PersonClass1,Neg,PresHab
Interrog,PersonClass1,Neg,PresPerf
Interrog,PersonClass1,Neg,PresProg
Interrog,PersonClass2,Aff,PastHab
Interrog,PersonClass2,Aff,PastPerf
Interrog,PersonClass2,Aff,PastPerfective
Interrog,PersonClass2,Aff,PastProg
Interrog,PersonClass2,Aff,PresHab
Interrog,PersonClass2,Aff,PresPerf
Interrog,PersonClass2,Aff,PresProg
Interrog,PersonClass2,Neg,ImprtvOpt
Interrog,PersonClass2,Neg,PastHab
Interrog,PersonClass2,Neg,PastPerf
Interrog,PersonClass2,Neg,PastPerfective
Interrog,PersonClass2,Neg,PastProg
Interrog,PersonClass2,Neg,PresHab
Interrog,PersonClass2,Neg,PresPerf
Interrog,PersonClass2,Neg,PresProg
NoFoc,PersonClass1,Aff,PastPerfective
NoFoc,PersonClass2,Aff,PastPerfective
PersonClass1,Aff,ImprtvOpt
PersonClass2,Aff,ImprtvOpt
