conjClass,derivedStem,nonFiniteForm,polarity,tam,lex
Irregular,Copula,li
Prefix,Copula,inni
Prefix,Imperfect,inni
Prefix,Perfect,inni
Prefix,Participle,Imperative,ed
Prefix,Participle,Imperfect,ed
Prefix,Participle,Jussive,ed
Prefix,Participle,Perfect,ed
Prefix,Participle,_NULL,ed
Prefix,B,Affirmative,Imperative,ebh
Prefix,B,Affirmative,Imperative,edebb
Prefix,B,Affirmative,Imperative,edh
Prefix,B,Affirmative,Imperative,eebeh
Prefix,B,Affirmative,Imperative,eehet
Prefix,B,Affirmative,Imperative,eeit
Prefix,B,Affirmative,Imperative,eelem
Prefix,B,Affirmative,Imperative,eemeg
Prefix,B,Affirmative,Imperative,eemen
Prefix,B,Affirmative,Imperative,efe
Prefix,B,Affirmative,Imperative,ehlif
Prefix,B,Affirmative,Imperative,ekkel
Prefix,B,Affirmative,Imperative,emeet
Prefix,B,Affirmative,Imperative,emlelekk
Prefix,B,Affirmative,Imperative,eney
Prefix,B,Affirmative,Imperative,enge
Prefix,B,Affirmative,Imperative,erd
Prefix,B,Affirmative,Imperative,err
Prefix,B,Affirmative,Imperative,ewe
Prefix,B,Affirmative,Imperative,ibbid
Prefix,B,Affirmative,Imperative,idhen
Prefix,B,Affirmative,Imperative,igziy
Prefix,B,Affirmative,Imperative,ineeb
Prefix,B,Affirmative,Imperative,oho
Prefix,B,Affirmative,Imperative,ooob
Prefix,B,Affirmative,Imperative,ooog
Prefix,B,Affirmative,Imperative,oorof
Prefix,B,Affirmative,Imperative,oosol
Prefix,B,Affirmative,Imperative,oosoom
Prefix,B,Affirmative,Imperative,uhfus
Prefix,B,Affirmative,Imperative,uru
Prefix,B,Affirmative,Imperative,uuluus
Prefix,B,Affirmative,Imperfect,anga
Prefix,B,Affirmative,Imperfect,edebb
Prefix,B,Affirmative,Imperfect,edh
Prefix,B,Affirmative,Imperfect,eedeg
Prefix,B,Affirmative,Imperfect,eehet
Prefix,B,Affirmative,Imperfect,eeley
Prefix,B,Affirmative,Imperfect,eeneb
Prefix,B,Affirmative,Imperfect,ekett
Prefix,B,Affirmative,Imperfect,ekkel
Prefix,B,Affirmative,Imperfect,emeet
Prefix,B,Affirmative,Imperfect,emlelekk
Prefix,B,Affirmative,Imperfect,eney
Prefix,B,Affirmative,Imperfect,ifriy
Prefix,B,Affirmative,Imperfect,oho
Prefix,B,Affirmative,Imperfect,oosol
Prefix,B,Affirmative,Imperfect,oysoom
Prefix,B,Affirmative,Imperfect,ult
Prefix,B,Affirmative,Imperfect,urkut
Prefix,B,Affirmative,Imperfect,uruf
Prefix,B,Affirmative,ImperfectInni,ubl
Prefix,B,Affirmative,ImperfectLi,emeet
Prefix,B,Affirmative,ImperfectM,uruf
Prefix,B,Affirmative,Jussive,edh
Prefix,B,Affirmative,Jussive,eedeg
Prefix,B,Affirmative,Jussive,ifriy
Prefix,B,Affirmative,Jussive,oosol
Prefix,B,Affirmative,Jussive,ubl
Prefix,B,Affirmative,Jussive,ult
Prefix,B,Affirmative,Jussive,urkut
Prefix,B,Affirmative,Jussive,uruf
Prefix,B,Affirmative,JussiveKi,ubl
Prefix,B,Affirmative,JussiveKi,uruf
Prefix,B,Affirmative,Perfect,edebb
Prefix,B,Affirmative,Perfect,edh
Prefix,B,Affirmative,Perfect,eebeh
Prefix,B,Affirmative,Perfect,eedeg
Prefix,B,Affirmative,Perfect,eefe
Prefix,B,Affirmative,Perfect,eehet
Prefix,B,Affirmative,Perfect,eeit
Prefix,B,Affirmative,Perfect,eelem
Prefix,B,Affirmative,Perfect,eeley
Prefix,B,Affirmative,Perfect,eemen
Prefix,B,Affirmative,Perfect,eeneb
Prefix,B,Affirmative,Perfect,ehlif
Prefix,B,Affirmative,Perfect,ekett
Prefix,B,Affirmative,Perfect,ekkel
Prefix,B,Affirmative,Perfect,emeet
Prefix,B,Affirmative,Perfect,eney
Prefix,B,Affirmative,Perfect,enge
Prefix,B,Affirmative,Perfect,erd
Prefix,B,Affirmative,Perfect,err
Prefix,B,Affirmative,Perfect,ew
Prefix,B,Affirmative,Perfect,ibbid
Prefix,B,Affirmative,Perfect,idhen
Prefix,B,Affirmative,Perfect,ifrid
Prefix,B,Affirmative,Perfect,ifriy
Prefix,B,Affirmative,Perfect,igdil
Prefix,B,Affirmative,Perfect,igre
Prefix,B,Affirmative,Perfect,igziy
Prefix,B,Affirmative,Perfect,inebe
Prefix,B,Affirmative,Perfect,obb
Prefix,B,Affirmative,Perfect,oho
Prefix,B,Affirmative,Perfect,ooob
Prefix,B,Affirmative,Perfect,oorof
Prefix,B,Affirmative,Perfect,oosol
Prefix,B,Affirmative,Perfect,oosoom
Prefix,B,Affirmative,Perfect,ootob
Prefix,B,Affirmative,Perfect,ootok
Prefix,B,Affirmative,Perfect,ubl
Prefix,B,Affirmative,Perfect,uhfus
Prefix,B,Affirmative,Perfect,uru
Prefix,B,Affirmative,Perfect,uuluus
Prefix,B,Affirmative,PerfectM,emeet
Prefix,B,Negative,Imperative,erd
Prefix,B,Negative,Imperative,iskir
Prefix,B,Negative,Imperative,meenge
Prefix,B,Negative,Imperfect,eedeg
Prefix,B,Negative,Imperfect,ifriy
Prefix,B,Negative,Imperfect,oosol
Prefix,B,Negative,Imperfect,ubl
Prefix,B,Negative,Perfect,erd
Prefix,B,Negative,Perfect,iskir
Prefix,B,Participle,Affirmative,ehet
Prefix,B,Participle,Affirmative,emeet
Prefix,B,Participle,Affirmative,ifriy
Prefix,B,Participle,Affirmative,uruf
