complement,conjClass,mood,morphClass,polarity,tam,lex
Existence,ConjClass,fa
Existence,Present,fa
Gerund,Affirmative,ImperfectPreterite,maa
Gerund,Affirmative,ImperfectPreterite,waa
Gerund,Affirmative,PerfectPreterite,maa
Gerund,Affirmative,PerfectPreterite,waa
Command,Affirmative,Imperative,maa
Command,Affirmative,Imperative,waa
Command,Affirmative,Jussive,maa
Command,Affirmative,Jussive,waa
Command,Interrogative,Affirmative,Jussive,am
Command,Interrogative,Negative,Jussive,am
ConjClass,Affirmative,ConjClass,maa
ConjClass,Affirmative,ConjClass,waa
Indicative,Affirmative,AoristHabitual,maa
Indicative,Affirmative,AoristHabitual,waa
Indicative,Affirmative,FutureProgressive,maa
Indicative,Affirmative,FutureProgressive,waa
Indicative,Affirmative,FuturePunctual,maa
Indicative,Affirmative,FuturePunctual,waa
Indicative,Affirmative,PreteritePerfect,waa
Indicative,Interrogative,Negative,AoristHabitual,am
Conj2,Command,Affirmative,Imperative,kar
Conj2,Command,Affirmative,Imperative,taf
Conj2,ConjClass,Affirmative,ConjClass,fall
Conj2,Indicative,Affirmative,AoristPunctual,taf
Conj2,Indicative,Affirmative,FuturePunctual,kutt
Conj3,Command,Affirmative,Imperative,need
Conj3,Command,Affirmative,Imperative,sha
Conj3,Command,Affirmative,Jussive,tsaaf
Conj3,ConjClass,Affirmative,ConjClass,ja
Conj3,Indicative,Affirmative,AoristPunctual,sha
Conj3,Indicative,Affirmative,FuturePunctual,meecc
Conj3,Indicative,Affirmative,PreteritePerfect,sha
Conj3,Indicative,Negative,PreteritePerfect,sha
Conj4,Command,Affirmative,Imperative,baziy
Conj4,Command,Affirmative,Imperative,tsiiliy
Conj4,Command,Affirmative,Jussive,fiiniy
Conj4,Indicative,Affirmative,AoristPunctual,kasshiy
Conj4,Indicative,Affirmative,FuturePunctual,kasshiy
Conj4,Indicative,Affirmative,PreteritePerfect,kasshiy
Conj4,Indicative,Negative,PreteritePerfect,kasshiy
Conj5,Command,Affirmative,Imperative,meeccey
Conj5,Command,Affirmative,Imperative,tsiiley
Conj5,Indicative,Affirmative,AoristPunctual,shuwey
Conj5,Indicative,Affirmative,FuturePunctual,meeccey
Conj5,Indicative,Affirmative,PreteritePerfect,shuwey
Conj5,Indicative,Negative,PreteritePerfect,shuwey
Compound,Conj1,Gerund,Affirmative,ImperfectPreterite,miits
Compound,Conj1,Desiderative,Affirmative,AoristHabitual,am
Compound,Conj1,Desiderative,Affirmative,FuturePunctual,am
Compound,Conj1,Desiderative,Affirmative,PreteritePerfect,am
Compound,Conj1,Desiderative,Negative,AoristHabitual,am
Compound,Conj1,Desiderative,Negative,PreteritePerfect,am
Compound,Conj1,Indicative,Affirmative,AoristIngressive,am
Compound,Conj1,Indicative,Affirmative,AoristProgressive,am
Compound,Conj1,Indicative,Affirmative,FuturePerfect,am
Compound,Conj1,Indicative,Affirmative,FutureProgressive,am
Compound,Conj1,Indicative,Affirmative,Pluperfect,am
Compound,Conj1,Indicative,Affirmative,PresentIngressive,am
Compound,Conj1,Indicative,Affirmative,PresentIngressiveA,am
Compound,Conj1,Indicative,Affirmative,PresentIngressiveB,am
Compound,Conj1,Indicative,Affirmative,PreteriteDubitative,am
Compound,Conj1,Indicative,Affirmative,PreteriteEgressive,am
Compound,Conj1,Indicative,Affirmative,PreteriteIngressive,am
Compound,Conj1,Indicative,Negative,AoristHabitual,am
Compound,Conj1,Indicative,Negative,AoristIngressive,am
Compound,Conj1,Indicative,Negative,AoristProgressive,am
Compound,Conj1,Indicative,Negative,FuturePerfect,am
Compound,Conj1,Indicative,Negative,FutureProgressive,am
Compound,Conj1,Indicative,Negative,Pluperfect,am
Compound,Conj1,Indicative,Negative,PresentIngressive,am
Compound,Conj1,Indicative,Negative,PresentIngressiveA,am
Compound,Conj1,Indicative,Negative,PresentIngressiveB,am
Compound,Conj1,Indicative,Negative,PreteriteDubitative,am
Compound,Conj1,Potential,Affirmative,AoristHabitual,am
Compound,Conj1,Potential,Affirmative,FuturePunctual,am
Compound,Conj1,Potential,Affirmative,PreteritePerfect,am
Compound,Conj1,Potential,Negative,AoristHabitual,am
Compound,Conj1,Potential,Negative,PreteritePerfect,am
Compound,Conj1,SubjunctivepdgmLex,Affirmative,Future,am
Compound,Conj1,SubjunctivepdgmLex,Affirmative,Progressive,am
Compound,Conj1,SubjunctivepdgmLex,Negative,Future,am
Compound,Conj1,SubjunctivepdgmLex,Negative,Progressive,am
Simple,Conj1,Gerund,Affirmative,PerfectPreterite,am
Simple,Conj1,Command,Affirmative,Imperative,am
Simple,Conj1,Command,Affirmative,Imperative,biits
Simple,Conj1,Command,Affirmative,Imperative,dek
Simple,Conj1,Command,Affirmative,Imperative,mash
Simple,Conj1,Command,Affirmative,Imperative,wots
Simple,Conj1,Command,Affirmative,Jussive,et
Simple,Conj1,Command,Negative,Imperative,am
Simple,Conj1,Command,Negative,Jussive,am
Simple,Conj1,Conditional,Affirmative,Present,im
Simple,Conj1,Conditional,Affirmative,Preterite,im
Simple,Conj1,Conditional,Negative,Present,im
Simple,Conj1,ConjClass,Affirmative,ConjClass,am
Simple,Conj1,ConjClass,Negative,Aorist,am
Simple,Conj1,ConjClass,Negative,Conditional,am
Simple,Conj1,ConjClass,Negative,Preterite,am
Simple,Conj1,Indicative,Affirmative,AoristHabitual,am
Simple,Conj1,Indicative,Affirmative,AoristPunctual,am
Simple,Conj1,Indicative,Affirmative,FuturePunctual,am
Simple,Conj1,Indicative,Affirmative,PreteritePerfect,am
Simple,Conj1,Indicative,Affirmative,PreteritePerfectB,am
Simple,Conj1,Indicative,Negative,AoristPunctual,am
Simple,Conj1,Indicative,Negative,PreteritePerfect,am
Simple,Conj1,Irrealis,Affirmative,Preterite,gargaar
Simple,Conj1,Irrealis,Negative,Preterite,gargaar
Simple,Conj1,Relative,Affirmative,Future,am
Simple,Conj1,Relative,Affirmative,Present,am
Simple,Conj1,Relative,Affirmative,Preterite,am
Simple,Conj1,Relative,Negative,Present,am
Simple,Conj1,Relative,Negative,Preterite,am
Simple,Conj1,SubjunctivepdgmLex,Affirmative,Habitual,am
Simple,Conj1,SubjunctivepdgmLex,Affirmative,Preterite,am
Simple,Conj1,SubjunctivepdgmLex,Negative,Habitual,am
Simple,Conj1,SubjunctivepdgmLex,Negative,Preterite,am
