Possessive,Common,Foc
Possessive,Common,Non-focus
Possessive,Exclusive,Foc
Possessive,Exclusive,Non-focus
Possessive,Inclusive,Foc
Possessive,Inclusive,Non-focus
Independent,Long,Common,
Independent,Long,Exclusive,
Independent,Long,Inclusive,
Independent,Object,Common,
Independent,Object,Exclusive,
Independent,Object,Inclusive,
Independent,ObjectIndirect,Common,
Independent,ObjectIndirect,Exclusive,
Independent,ObjectIndirect,Inclusive,
Independent,Short,Common,
Independent,Short,Exclusive,
Independent,Short,Inclusive,
